Date,Time,Comment,Model_Name,Best_Epoch,Val_MAE,Val_Cos,Val_Shape,w_mae,w_cos,w_shape,w_signal,w_base,w_consist,w_smooth,w_curve,w_mid,w_deep,w_ortho,Learning_Rate,Batch_Size
2026-08-12,21:17:04,ABLATION arch=plain (SmoothedResBlock) seed=0 params=4639416 epoch_s=12.994 lat_b1_ms=5.0963 [metrics=restored-checkpoint],Ablation_plain_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,616,0.036352,0.023995,0.009577,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,01:22:02,ABLATION arch=rk4 gate=concat seed=0 params=5169526 epoch_s=17.007 lat_b1_ms=5.0289,Ablation_rk4_concat_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,756,0.025892,0.013172,0.007011,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,05:26:11,ABLATION arch=rk4 gate=encoder-only seed=0 params=5168630 epoch_s=16.667 lat_b1_ms=4.99,Ablation_rk4_encoder-only_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,726,0.027167,0.014204,0.007261,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,07:02:32,COMPARISON kazemzadeh cascaded-UNet seed=0 params=5888130 epoch_s=7.148 lat_plate96_ms=21.1936 [metrics=restored-checkpoint],Compare_kazemzadeh_cascadedUNet_seed0.pth,539,0.043056,0.033442,0.008867,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,64
2026-08-13,11:10:48,ABLATION arch=rk4 variant=_nosigmoid seed=0 params=5167302 epoch_s=14.955 lat_b1_ms=4.8119,Ablation_rk4_nosigmoid_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,792,0.02656,0.013581,0.007162,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,15:11:23,ABLATION arch=rk4 variant=_nosquelch seed=0 params=5168438 epoch_s=17.085 lat_b1_ms=5.9603,Ablation_rk4_nosquelch_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,835,0.02753,0.014653,0.007505,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,18:56:13,ABLATION arch=rk4 variant=_noortho seed=0 params=5168630 epoch_s=17.099 lat_b1_ms=5.9993,Ablation_rk4_noortho_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,726,0.026554,0.013506,0.007168,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-13,22:07:34,ABLATION arch=rk4 variant=_noaux seed=0 params=5168630 epoch_s=17.005 lat_b1_ms=5.6123,Ablation_rk4_noaux_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,568,0.029276,0.015923,0.007853,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-14,01:46:16,ABLATION arch=rk4 variant=_bld8 seed=0 params=5184254 epoch_s=16.979 lat_b1_ms=5.0369,Ablation_rk4_bld8_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,616,0.027326,0.014334,0.007278,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-14,05:41:24,ABLATION arch=rk4 variant=_bld32 seed=0 params=5138918 epoch_s=16.696 lat_b1_ms=5.553,Ablation_rk4_bld32_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,830,0.024977,0.012195,0.006906,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-15,15:38:28,ABLATION arch=rk4 variant=_bld64 seed=0 params=5085638 epoch_s=17.299 lat_b1_ms=6.2335,Ablation_rk4_bld64_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,727,0.028438,0.01551,0.007408,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-16,01:12:09,ABLATION arch=rk4 variant=_w32 seed=0 params=1288438 epoch_s=8.271 lat_b1_ms=5.5827,Ablation_rk4_w32_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,493,0.033135,0.021489,0.008518,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-16,08:45:00,ABLATION arch=rk4 variant=_w96 seed=0 params=11641590 epoch_s=29.22 lat_b1_ms=6.2283,Ablation_rk4_w96_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed0.pth,924,0.024327,0.011372,0.006704,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-16,15:07:44,ABLATION arch=rk4 variant=control seed=1 params=5168630 epoch_s=17.859 lat_b1_ms=7.5068,Ablation_rk4_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed1.pth,768,0.027688,0.014856,0.007541,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
2026-08-17,02:07:41,ABLATION arch=rk4 variant=control seed=2 params=5168630 epoch_s=54.454 lat_b1_ms=6.1715,Ablation_rk4_113_S20.0_B20.0_wm2.0_wd1.0_ortho0.5_wmae1.0_wcos1.0_wshape0.1_seed2.pth,676,0.027827,0.015273,0.007566,1.0,1.0,0.1,20.0,20.0,0.0,0.2,0.2,2.0,1.0,0.5,0.0001,64
